sample_id	text	expected_output	label	label_name	sentiment_zh	split	source_dataset
chnsenticorp_train_00114	于丹的，讲教还可以吧译注的当然是比较不上大师们的了。比较适合学生吧，做人做事的道理。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_00225	不错，在同等档次酒店中应该是值得推荐的！	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_00641	电脑的包装纸盒上有个非常明显的鞋印，想象京东的包装和运输不是用手来操作的。送的礼包里的电脑屏幕保护贴是弯折的，没法用了。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_00803	入住没什么问题，前台把握安排在23楼， 那里可真是馊臭，一出电梯非常难闻。进了房间里面还是有这个味道。 就快要吐出来了。 实在是忍无可忍，打电话给总台，要求换房。 后来换到39楼。 服务生说是23，24楼市公寓楼，有人在做饭的。 晕！！！ 也说明酒店不重视携程的客户。 如果是他们酒店ACCOR的会员的话，肯定不会安排在23楼。 还有个奇怪的问题是， 为什么携程总是没有早餐的？ 什么酒店都没有， 感觉是携程吃了我们的早餐。	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_01028	"也许黄金海岸有自己的酒店评级机构,给此中心评了个""四星"",不然不好意思收四五百的房租啊!也就二星的标准,大堂里蚊子那叫一个多...卫生间和浴室的门都关不上,的用手扶着!电话不响,得用自己的手机. 毛巾不知是哪年的了，估计本世纪初的产品。装修用的是最低档的地砖和大理石...另外，当地民风极差，无论你在酒店里，海滩上，外面餐馆，只要你出手消费，必定挨宰！ 下次宁愿远赴青岛威海，也不来黄金海岸，南戴河了。海水的品质，也如当地酒店和民风，差！"	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_01040	装系统时，要长按F2进入主版，这个提示机器上不显示，到网上查到的，默认硬盘分区有好几个，还有一个显示为bos，后来才反应过来要把所有的分区都删掉，重新格式化，装上的xp才能读到，不然老是显示都不到。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_01124	3星的硬件,4星的外观,5星的服务 房间设施比较陈旧,但服务非常的好,头一次碰到3星的酒店里任何一个服务人员见到你都会微笑问好的,如果设施再好些是个不错的酒店	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_01521	政府酒店感觉很气派,而且很干净,整个酒店的房间布局也很整齐.5月份入住的,由于第一天房间不能上网,和前台协调又换了一间可以上网的,还帮忙调试了笔记本,服务很周到.正好住的两天都有人结婚,感觉酒店一楼的宴会厅很适合婚礼	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_01813	这应该是我见过能称为五星最恶心的酒店了，服务不好，房间不好，早点不好，听说是个没老板开的，太不讲究了，好好改改吧！麻烦携程推荐好的酒店！	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_02105	自带的1G内存配合Vista系统还是很吃力。快捷键有点少。奥特蓝星的音箱比起惠普的奥特蓝星音箱总觉得差了层次。	negative	0	negative	负面	train	seamew/ChnSentiCorp
